lat,lng,name,max_buses,url
40.762455,-111.911353,"UTA Proposed Depot District Clean Fuels Tech Center",9999,"http://www.slcdocs.com/transportation/Plans/SLC_TMP_FULL_FINAL.pdf"
40.276880,-111.729939,"UTA Mt. Timpanogos",9999,""
40.693215,-111.912630,"UTA Meadowbrook",9999,""
41.236133,-111.979649,"UTA Mt. Ogden",9999,""
