lat,lng,name,max_buses,url
44.863656,-93.243447,"South Garage, 2100 MTC Road, Minneapolis",150,"https://www.metrotransit.org/south-garage"
44.945461,-93.278904,"Nicollet Garage, 10 West 32nd Street, Minneapolis",150,"https://www.metrotransit.org/nicollet-garage"
45.077254,-93.311890,"Martin J Ruter Garage, 6845 Shingle Creek Parkway, Brooklyn Center",160,"https://www.metrotransit.org/martin-j-ruter-garage"
44.964524,-93.088839,"East Metro Garage, 820 L’Orient Street, St. Paul",200,"https://www.metrotransit.org/east-metro-transit-facility"
